model,precision,recall
SVM_RBF,0.34967622571692875,1.0
SVM_RBF,0.35,1.0
SVM_RBF,0.35032437442076,1.0
SVM_RBF,0.35064935064935066,1.0
SVM_RBF,0.35097493036211697,1.0
SVM_RBF,0.3513011152416357,1.0
SVM_RBF,0.3516279069767442,1.0
SVM_RBF,0.35195530726256985,1.0
SVM_RBF,0.35228331780055916,1.0
SVM_RBF,0.35261194029850745,1.0
SVM_RBF,0.35294117647058826,1.0
SVM_RBF,0.3532710280373832,1.0
SVM_RBF,0.35360149672591207,1.0
SVM_RBF,0.3539325842696629,1.0
SVM_RBF,0.3542642924086223,1.0
SVM_RBF,0.3545966228893058,1.0
SVM_RBF,0.35492957746478876,1.0
SVM_RBF,0.35526315789473684,1.0
SVM_RBF,0.35559736594543745,1.0
SVM_RBF,0.3559322033898305,1.0
SVM_RBF,0.35626767200754006,1.0
SVM_RBF,0.35660377358490564,1.0
SVM_RBF,0.35694050991501414,1.0
SVM_RBF,0.3572778827977316,1.0
SVM_RBF,0.3576158940397351,1.0
SVM_RBF,0.35795454545454547,1.0
SVM_RBF,0.3582938388625592,1.0
SVM_RBF,0.3586337760910816,1.0
SVM_RBF,0.358974358974359,1.0
SVM_RBF,0.3593155893536122,1.0
SVM_RBF,0.35965746907706947,1.0
SVM_RBF,0.36,1.0
SVM_RBF,0.3603431839847474,1.0
SVM_RBF,0.3606870229007634,1.0
SVM_RBF,0.36103151862464183,1.0
SVM_RBF,0.361376673040153,1.0
SVM_RBF,0.3617224880382775,1.0
SVM_RBF,0.3620689655172414,1.0
SVM_RBF,0.3624161073825503,1.0
SVM_RBF,0.362763915547025,1.0
SVM_RBF,0.3631123919308357,1.0
SVM_RBF,0.36346153846153845,1.0
SVM_RBF,0.3638113570741097,1.0
SVM_RBF,0.36416184971098264,1.0
SVM_RBF,0.36451301832208294,1.0
SVM_RBF,0.36486486486486486,1.0
SVM_RBF,0.3652173913043478,1.0
SVM_RBF,0.3655705996131528,1.0
SVM_RBF,0.3659244917715392,1.0
SVM_RBF,0.36627906976744184,1.0
SVM_RBF,0.36663433559650827,1.0
SVM_RBF,0.36699029126213595,1.0
SVM_RBF,0.3673469387755102,1.0
SVM_RBF,0.36770428015564205,1.0
SVM_RBF,0.36806231742940604,1.0
SVM_RBF,0.3684210526315789,1.0
SVM_RBF,0.36878048780487804,1.0
SVM_RBF,0.369140625,1.0
SVM_RBF,0.36950146627565983,1.0
SVM_RBF,0.3698630136986301,1.0
SVM_RBF,0.3702252693437806,1.0
SVM_RBF,0.37058823529411766,1.0
SVM_RBF,0.37095191364082436,1.0
SVM_RBF,0.3713163064833006,1.0
SVM_RBF,0.37168141592920356,1.0
SVM_RBF,0.3720472440944882,1.0
SVM_RBF,0.3724137931034483,1.0
SVM_RBF,0.3727810650887574,1.0
SVM_RBF,0.37314906219151034,1.0
SVM_RBF,0.37351778656126483,1.0
SVM_RBF,0.37388724035608306,1.0
SVM_RBF,0.37425742574257426,1.0
SVM_RBF,0.37462834489593655,1.0
SVM_RBF,0.375,1.0
SVM_RBF,0.3753723932472691,1.0
SVM_RBF,0.3757455268389662,1.0
SVM_RBF,0.3761194029850746,1.0
SVM_RBF,0.37649402390438247,1.0
SVM_RBF,0.37686939182452645,1.0
SVM_RBF,0.3772455089820359,1.0
SVM_RBF,0.3776223776223776,1.0
SVM_RBF,0.378,1.0
SVM_RBF,0.3783783783783784,1.0
SVM_RBF,0.3787575150300601,1.0
SVM_RBF,0.3791374122367101,1.0
SVM_RBF,0.3795180722891566,1.0
SVM_RBF,0.3798994974874372,1.0
SVM_RBF,0.38028169014084506,1.0
SVM_RBF,0.3806646525679758,1.0
SVM_RBF,0.3810483870967742,1.0
SVM_RBF,0.38143289606458125,1.0
SVM_RBF,0.38181818181818183,1.0
SVM_RBF,0.3822042467138524,1.0
SVM_RBF,0.3825910931174089,1.0
SVM_RBF,0.3829787234042553,1.0
SVM_RBF,0.38336713995943206,1.0
SVM_RBF,0.383756345177665,1.0
SVM_RBF,0.38414634146341464,1.0
SVM_RBF,0.38453713123092575,1.0
SVM_RBF,0.384928716904277,1.0
SVM_RBF,0.3853211009174312,1.0
SVM_RBF,0.38571428571428573,1.0
SVM_RBF,0.3861082737487232,1.0
SVM_RBF,0.38650306748466257,1.0
SVM_RBF,0.38689866939611056,1.0
SVM_RBF,0.38729508196721313,1.0
SVM_RBF,0.38769230769230767,1.0
